SeccionCensal;FofM
2807908169;20,51 %
1806201005;20,51 %
0818703018;20,51 %
0406601004;20,52 %
1890501008;20,53 %
3002401016;20,54 %
3120107023;20,54 %
4317101001;20,55 %
2906801006;20,55 %
2990101042;20,56 %
3003004063;20,56 %
2810601049;20,56 %
2816102009;20,57 %
3304412013;20,57 %
0403502001;20,57 %
0921903014;20,58 %
2812301034;20,58 %
0821101007;20,58 %
4010101001;20,59 %
4007201001;20,60 %
3004103003;20,61 %
1100401025;20,62 %
0301406025;20,62 %
1308203004;20,62 %
3302405022;20,63 %
3001610036;20,63 %
3004301027;20,64 %
0702604014;20,65 %
4312307002;20,65 %
1100404021;20,65 %
0827902016;20,66 %
0310403001;20,66 %
4602903002;20,66 %
0406601009;20,66 %
2808601001;20,66 %
0822101009;20,67 %
4109109027;20,67 %
3003003046;20,67 %
3003701008;20,67 %
3002201018;20,68 %
0401306023;20,68 %
3801101006;20,68 %
4104502002;20,68 %
2807902098;20,68 %
2906710066;20,69 %
2812301036;20,69 %
3003501017;20,69 %
0827903005;20,69 %
4608302003;20,70 %
3501504002;20,70 %
2100503004;20,70 %
4625016031;20,70 %
4103804021;20,71 %
0105903041;20,72 %
2805804004;20,72 %
1927901001;20,73 %
1212601007;20,73 %
3003005002;20,73 %
0703602003;20,74 %
0401306024;20,74 %
3902801003;20,74 %
3001608004;20,74 %
0406601008;20,75 %
0312202001;20,75 %
2305501003;20,75 %
1402106050;20,76 %
4106402001;20,76 %
2807918052;20,76 %
2811601001;20,76 %
4619001046;20,76 %
3727404025;20,77 %
4520101001;20,77 %
4100403011;20,77 %
0105903039;20,78 %
1707902011;20,79 %
0830504005;20,79 %
1200903003;20,79 %
1102006035;20,79 %
4106804003;20,79 %
3001001006;20,80 %
1922001001;20,80 %
0702604005;20,80 %
2817201005;20,81 %
2308601011;20,81 %
2807405019;20,81 %
4317101007;20,81 %
4902102006;20,81 %
1103201017;20,81 %
1917101002;20,82 %
1904601015;20,82 %
2813401052;20,82 %
4602501001;20,83 %
2814801012;20,83 %
3304408010;20,83 %
2807918046;20,84 %
4619401012;20,84 %
0702604023;20,84 %
3300401061;20,84 %
1721501002;20,85 %
0105902039;20,86 %
0702604022;20,86 %
4100702002;20,86 %
1003704004;20,87 %
1308201003;20,87 %
0808902010;20,87 %
2804801001;20,87 %
3501605031;20,87 %
1213502016;20,87 %
4625019012;20,88 %
3604901004;20,88 %
0801901011;20,88 %
4007701001;20,88 %
4804601009;20,88 %
0801901010;20,88 %
4101601004;20,89 %
4718604040;20,89 %
1101403004;20,89 %
0827905029;20,89 %
3004301020;20,89 %
0490201047;20,89 %
4801308001;20,90 %
1103801013;20,90 %
0801907102;20,90 %
0312203011;20,91 %
3123204006;20,91 %
1102004003;20,91 %
3002501002;20,91 %
0818707007;20,92 %
3000701006;20,92 %
2104402003;20,92 %
0490201045;20,92 %
4107501006;20,93 %
3002701026;20,93 %
4519901001;20,93 %
0704003044;20,93 %
0406601005;20,94 %
3003901004;20,94 %
2807403014;20,94 %
4105901024;20,94 %
3501605009;20,95 %
0410102001;20,95 %
2906711012;20,95 %
0309002001;20,95 %
4516805025;20,96 %
0407902021;20,96 %
2807918058;20,96 %
1802202002;20,97 %
0704001007;20,97 %
1500501010;20,97 %
0801910043;20,97 %
2005501006;20,98 %
1913002008;20,98 %
3002401001;20,98 %
1403001006;20,99 %
3003701007;20,99 %
2806502013;20,99 %
1103205008;21,00 %
5200105004;21,00 %
0704802004;21,00 %
2306003007;21,00 %
0407901009;21,00 %
4619001036;21,01 %
0401307044;21,01 %
0301404022;21,02 %
2807403022;21,02 %
2807905012;21,02 %
0801906045;21,02 %
0808601003;21,02 %
2814901001;21,02 %
0704601001;21,02 %
0401306021;21,03 %
0301904001;21,03 %
4701001001;21,04 %
0702402001;21,04 %
2807917029;21,04 %
1891101006;21,04 %
1303404010;21,05 %
4314807002;21,05 %
2814804013;21,05 %
3002401030;21,05 %
1401701004;21,05 %
4620701003;21,06 %
3001801008;21,06 %
2807918059;21,06 %
0407902006;21,06 %
1303403005;21,07 %
4623803001;21,07 %
1403801004;21,07 %
4102102004;21,07 %
0401306022;21,07 %
2814803008;21,08 %
1808709010;21,08 %
3001301009;21,08 %
0410201003;21,08 %
0818704020;21,08 %
1103106005;21,09 %
4601702008;21,09 %
0608304013;21,09 %
2511001003;21,09 %
4516806003;21,09 %
0801901028;21,09 %
3800601011;21,10 %
0801901019;21,10 %
0501906003;21,10 %
2104402001;21,11 %
2903801005;21,11 %
3412005014;21,11 %
0704601005;21,12 %
2807908160;21,12 %
1103101015;21,12 %
2512002004;21,12 %
2810601004;21,12 %
2102101003;21,13 %
0704004046;21,13 %
4601902006;21,13 %
4602101017;21,14 %
2812701010;21,14 %
3003005007;21,15 %
1808901012;21,15 %
0801901004;21,15 %
3003301008;21,16 %
2890301023;21,16 %
2105401006;21,16 %
3003005042;21,16 %
0490201040;21,16 %
1103201002;21,16 %
2807919001;21,16 %
2308703003;21,17 %
2813001021;21,17 %
1103302004;21,17 %
2906708033;21,17 %
2807902104;21,18 %
3302406023;21,19 %
0200902003;21,20 %
2813401047;21,20 %
3000701001;21,20 %
3727404024;21,20 %
2501101003;21,20 %
5200108013;21,20 %
1607804024;21,21 %
4625010054;21,21 %
0801903011;21,21 %
2807916110;21,21 %
2804003001;21,21 %
0615303005;21,21 %
2807906013;21,22 %
1706604009;21,22 %
2104102007;21,22 %
4105802005;21,22 %
3412005011;21,22 %
3002401015;21,22 %
5200104001;21,22 %
3503401003;21,22 %
4608201001;21,22 %
0410101002;21,22 %
4801703002;21,23 %
2800601063;21,23 %
2810601053;21,23 %
0304901001;21,23 %
3001606012;21,23 %
0801901046;21,23 %
4610201020;21,23 %
1800601001;21,23 %
2807906104;21,24 %
2906707074;21,24 %
3800101011;21,24 %
3801701024;21,24 %
1203203006;21,24 %
3003004012;21,24 %
2807501003;21,24 %
0821103002;21,25 %
0704601010;21,25 %
0306604013;21,25 %
5029710014;21,26 %
0820505006;21,26 %
3004104004;21,26 %
2801401026;21,26 %
1706602002;21,26 %
0801901048;21,26 %
1890501003;21,27 %
0801901043;21,28 %
0402401001;21,29 %
0601507001;21,29 %
4309501002;21,29 %
4103401010;21,29 %
0827906033;21,29 %
2418901004;21,30 %
4625601003;21,30 %
1100603001;21,30 %
2804901024;21,31 %
2812301022;21,31 %
0314002002;21,32 %
0821701001;21,33 %
0825201029;21,33 %
2810601051;21,33 %
2302401004;21,33 %
3003006027;21,34 %
0801509037;21,34 %
1715502001;21,35 %
1014805001;21,35 %
3727403018;21,35 %
3003702005;21,35 %
0309904006;21,35 %
4109111001;21,35 %
1102701010;21,35 %
5200102001;21,36 %
1704901002;21,36 %
2105501003;21,36 %
3004201002;21,36 %
0801901050;21,36 %
0300901001;21,36 %
4109110009;21,37 %
4618401005;21,37 %
5009902001;21,37 %
0825501001;21,37 %
1907101001;21,37 %
0829802001;21,38 %
3003901015;21,38 %
3901901001;21,38 %
0307901002;21,39 %
0604403003;21,39 %
2811502016;21,40 %
0828401003;21,40 %
4108101006;21,40 %
0407502001;21,40 %
2807908173;21,40 %
0801906054;21,40 %
0905903011;21,40 %
2907001018;21,40 %
0801906047;21,40 %
4109105051;21,40 %
4102302003;21,40 %
3303107019;21,40 %
4312301001;21,41 %
2807908178;21,41 %
2102101004;21,41 %
0407901010;21,41 %
0818704024;21,41 %
0812102007;21,41 %
1213501004;21,41 %
0602501002;21,41 %
2807906126;21,41 %
2807901049;21,41 %
0403501003;21,41 %
0804101004;21,42 %
0801901017;21,42 %
2090301001;21,42 %
2905403006;21,42 %
0807303005;21,43 %
5200102003;21,43 %
3000501007;21,43 %
0410002002;21,43 %
0801901049;21,43 %
5200103001;21,43 %
3605001001;21,43 %
1890501009;21,44 %
0614903003;21,44 %
3003801008;21,44 %
0801901002;21,44 %
3002301002;21,44 %
2807901024;21,45 %
3502602011;21,45 %
3003501002;21,45 %
0601103004;21,45 %
1808703044;21,45 %
0801906048;21,45 %
2807903025;21,45 %
1503009004;21,45 %
2801401022;21,46 %
4516502015;21,46 %
1102006029;21,46 %
4308801001;21,46 %
0801902014;21,46 %
4100404028;21,46 %
2807920068;21,46 %
2906707026;21,46 %
0309201002;21,47 %
0405303002;21,47 %
0801901021;21,47 %
0407902018;21,47 %
4105901009;21,48 %
0801901012;21,48 %
2418901005;21,48 %
2001301004;21,48 %
2814801025;21,48 %
1300501004;21,48 %
2811301012;21,49 %
2806503039;21,49 %
4108102018;21,49 %
4109503006;21,49 %
4100301002;21,49 %
5029704066;21,49 %
3002401027;21,49 %
3001001004;21,49 %
0801906056;21,49 %
2501101002;21,49 %
3800101017;21,50 %
2810801002;21,50 %
2906707025;21,50 %
0813602001;21,50 %
3002701049;21,50 %
2816102012;21,50 %
2807901040;21,50 %
0801906050;21,51 %
3003004026;21,51 %
1715502007;21,51 %
0604403001;21,51 %
2908001005;21,51 %
3002701022;21,52 %
4508102002;21,52 %
1102006032;21,52 %
2807912066;21,52 %
0801910056;21,52 %
1208402007;21,52 %
1706602001;21,52 %
2807905010;21,52 %
3000901007;21,53 %
3120106016;21,53 %
0704601006;21,53 %
2804501007;21,54 %
0821101005;21,54 %
0313903006;21,54 %
2906903004;21,54 %
0808902005;21,54 %
2801401012;21,54 %
4622006002;21,54 %
0604401005;21,55 %
4614503005;21,55 %
1808703031;21,55 %
0407901016;21,55 %
1607803008;21,55 %
0807710004;21,56 %
4624401013;21,56 %
0407901001;21,56 %
4504701002;21,56 %
4516504002;21,56 %
0704601003;21,56 %
3601701007;21,56 %
0801901054;21,56 %
4624402006;21,56 %
0801901045;21,57 %
1102006046;21,57 %
0705401008;21,57 %
4624402001;21,57 %
0801901029;21,57 %
1707903008;21,57 %
0410003004;21,57 %
2006903032;21,57 %
0702401001;21,57 %
3003006035;21,57 %
3501504003;21,58 %
0808601007;21,58 %
0943901001;21,58 %
4316601001;21,58 %
0705402001;21,58 %
0801906039;21,58 %
2807906103;21,59 %
3421701001;21,59 %
0704004022;21,59 %
0827904007;21,59 %
2807906105;21,59 %
1003706004;21,60 %
0801901009;21,60 %
0704001008;21,60 %
2808401009;21,60 %
2608906002;21,60 %
1904601006;21,60 %
4612601003;21,60 %
0305001005;21,60 %
0311101004;21,61 %
0809602006;21,61 %
1101504006;21,61 %
0704004009;21,61 %
0704004078;21,61 %
0490201004;21,61 %
3001607013;21,61 %
4512201001;21,61 %
2810601065;21,62 %
2807913050;21,62 %
0200304011;21,62 %
0490201006;21,62 %
0410201006;21,62 %
1303904001;21,62 %
0601510037;21,63 %
3801701011;21,63 %
0314001002;21,63 %
2305801005;21,63 %
1814002004;21,63 %
3905201007;21,63 %
4503801001;21,64 %
0801902067;21,64 %
0801901006;21,64 %
0612201001;21,64 %
0824506017;21,64 %
2807911039;21,64 %
2801401005;21,64 %
4109401003;21,64 %
3003002039;21,64 %
4390501012;21,65 %
0801901031;21,65 %
2807912108;21,65 %
3000801006;21,65 %
4619001048;21,65 %
0615801006;21,65 %
2807901043;21,65 %
1200502004;21,66 %
1401303003;21,66 %
2807902047;21,66 %
3001610026;21,66 %
3003004061;21,66 %
0614904002;21,66 %
0200307014;21,66 %
2801401001;21,66 %
0801901001;21,66 %
3002401014;21,66 %
3002701040;21,66 %
0801901035;21,67 %
4508801002;21,67 %
0830101016;21,67 %
0309301011;21,67 %
3002401044;21,67 %
2807918045;21,67 %
4805501003;21,67 %
0702701005;21,67 %
2807916106;21,67 %
2903802008;21,67 %
2105501005;21,68 %
2810401007;21,68 %
3001610037;21,68 %
2810401006;21,68 %
0405201010;21,68 %
4516807001;21,68 %
0824506016;21,68 %
0801901015;21,68 %
1503010005;21,68 %
0306501017;21,68 %
2300502008;21,69 %
3002701018;21,69 %
0490201042;21,69 %
4108102017;21,69 %
4109102016;21,70 %
0801901044;21,70 %
1103205011;21,70 %
4103804003;21,70 %
2807901013;21,70 %
0312202006;21,70 %
0407901006;21,70 %
5020901002;21,70 %
2813201003;21,71 %
5200108002;21,71 %
4100404030;21,71 %
2807901047;21,71 %
3003003023;21,71 %
4003101001;21,71 %
0490201012;21,71 %
4621402005;21,71 %
4105901026;21,71 %
1913003011;21,72 %
2211201008;21,72 %
3003005047;21,72 %
5200108001;21,72 %
3002101001;21,72 %
3003006002;21,72 %
2810601061;21,73 %
2106001009;21,73 %
3905201005;21,73 %
2807917111;21,73 %
0608801005;21,73 %
0826601037;21,73 %
3002401029;21,73 %
0702703002;21,73 %
3802605005;21,74 %
4802703002;21,74 %
0801901025;21,74 %
0407901012;21,74 %
2807920119;21,74 %
4109105045;21,75 %
3300401078;21,75 %
0407902023;21,75 %
0401306019;21,75 %
2813201004;21,75 %
1800301007;21,75 %
4927501006;21,75 %
4390501011;21,75 %
3120105010;21,76 %
4608501003;21,76 %
2806503038;21,76 %
0701301001;21,76 %
4101302002;21,76 %
2807902099;21,76 %
2106001010;21,77 %
0608303009;21,77 %
1307101002;21,77 %
0410003003;21,77 %
4516807004;21,77 %
4625004028;21,77 %
0490201033;21,77 %
4102102006;21,77 %
3803803001;21,78 %
4103804011;21,78 %
2813401044;21,78 %
3002401017;21,78 %
0801509038;21,78 %
0401307021;21,78 %
2807901030;21,78 %
5100105005;21,78 %
0827906005;21,79 %
2801304005;21,79 %
2807917045;21,79 %
1101502002;21,79 %
4100701002;21,79 %
0200304012;21,79 %
0490201044;21,79 %
3001605006;21,79 %
0801903053;21,79 %
1102701003;21,80 %
3108801001;21,80 %
1303402008;21,80 %
3003005027;21,80 %
0830101002;21,80 %
1303101001;21,80 %
3603901001;21,80 %
5200105006;21,80 %
2807916122;21,80 %
1100403013;21,80 %
0401306006;21,80 %
0490201010;21,80 %
0407901007;21,80 %
4104901005;21,80 %
1100602009;21,81 %
2901503007;21,81 %
0801903014;21,81 %
0801906043;21,81 %
1711404001;21,81 %
0801910101;21,82 %
2807907051;21,82 %
1102007020;21,82 %
0704601008;21,82 %
1808703020;21,82 %
0410201012;21,82 %
4614701002;21,82 %
4504701001;21,82 %
4804601004;21,82 %
1101505005;21,83 %
2905102007;21,83 %
0801906046;21,83 %
2807901034;21,83 %
0407401001;21,83 %
2804902016;21,83 %
0801901007;21,83 %
3108801004;21,83 %
3306601024;21,83 %
3000301013;21,84 %
0818705013;21,84 %
4109105006;21,84 %
4105803007;21,84 %
4625004018;21,84 %
1003706001;21,84 %
0801901033;21,84 %
0306506012;21,84 %
2813201007;21,84 %
3002201012;21,84 %
2807901069;21,84 %
3801101011;21,84 %
0801901003;21,84 %
3802603004;21,84 %
4618403010;21,85 %
0830101014;21,85 %
0301405006;21,85 %
0812601002;21,85 %
0810105026;21,85 %
3090101007;21,85 %
2513701003;21,86 %
3004104003;21,86 %
4620501001;21,86 %
3003003029;21,86 %
3001201013;21,86 %
0704801004;21,86 %
4512101001;21,86 %
2906708040;21,87 %
2103501003;21,87 %
0812106009;21,87 %
3102301001;21,87 %
4101103001;21,87 %
0400602001;21,87 %
0819406006;21,87 %
3090101011;21,87 %
4517302004;21,87 %
2814501002;21,88 %
0608306008;21,88 %
2807905070;21,88 %
2005902001;21,88 %
1808703016;21,88 %
0801910064;21,88 %
4190301002;21,88 %
4609401019;21,88 %
0407901008;21,88 %
4103902004;21,88 %
1507804008;21,88 %
1904601004;21,88 %
3002501006;21,89 %
3001605001;21,89 %
2907001019;21,89 %
5100102003;21,89 %
4109801003;21,89 %
4107501008;21,89 %
3800601030;21,89 %
4601501005;21,89 %
0490201001;21,90 %
4601902002;21,90 %
3304406024;21,90 %
5200107002;21,90 %
3001605007;21,90 %
2100501004;21,90 %
3003901026;21,90 %
2807913058;21,91 %
2501101001;21,91 %
4101501002;21,91 %
4625016029;21,91 %
3003501023;21,91 %
2807913045;21,91 %
2807901038;21,92 %
0200306014;21,92 %
5008901005;21,92 %
0702604007;21,92 %
0818001012;21,92 %
0801901038;21,92 %
0202501007;21,92 %
2807902061;21,93 %
2810601052;21,93 %
4801308003;21,93 %
0827905013;21,93 %
2813401051;21,93 %
2807908179;21,93 %
3905201002;21,93 %
4100404019;21,93 %
4624401012;21,93 %
0401306031;21,94 %
4802005044;21,94 %
2807902101;21,94 %
4803604001;21,94 %
0827904008;21,94 %
3502901003;21,95 %
4103803001;21,95 %
4620201004;21,95 %
2104203001;21,95 %
4601501006;21,95 %
0801901047;21,95 %
0310404003;21,95 %
4619001044;21,95 %
2903801003;21,96 %
3090201003;21,96 %
