0200901002;=;++
0200902001;=;++
0200902002;=;++
0200902003;=;++
0200903001;=;++
0200903002;=;++
0200903003;=;++
0200903004;=;++
0200903005;=;++
0200903006;=;++
0200903007;=;++
0200903008;=;++
0200903009;=;++
0200904001;=;++
0200904002;=;++
0200904003;=;++
0200904004;=;++
0201001001;++;++
0201002001;++;++
0201101001;--;-
0201201001;=;++
0201201002;=;++
0201301001;++;++
0201401001;--;++
0201501001;++;--
0201601001;+;=
0201701001;--;-
0201801001;++;++
0201901001;=;--
0201901002;=;--
0201901003;=;--
0202001001;++;--
0202101001;++;=
0202201001;+;=
0202301001;++;++
0202401001;=;++
0202401002;=;++
0202402001;=;++
0202501001;++;=
0202501002;++;=
0202501003;++;=
0202501004;++;=
0202501005;++;=
0202501006;++;=
0202501007;++;=
0202601001;++;=
0202701001;++;--
0202801001;++;++
0202901001;--;--
0202902001;++;++
0203001001;+;++
0203002001;+;++
0203101001;+;++
0203201001;++;++
0203301001;++;+
0203301002;++;+
0203401001;=;++
0203501001;=;--
0203501002;=;--
0203601001;++;=
0203701001;+;--
0203701002;+;--
0203701003;+;--
0203701004;+;--
0203702001;+;--
0203702002;+;--
0203702003;+;--
0203702004;+;--
0203703001;+;--
0203703002;+;--
0203703003;+;--
0203703004;+;--
0203703005;+;--
0203703006;+;--
0203703007;+;--
0203704001;++;--
0203704002;++;--
0203705001;++;--
0203705003;++;--
0203706001;++;=
0203801001;++;--
0203901001;++;--
0204001001;--;++
0204101001;++;=
0204201001;+;++
0204301001;++;--
0204401001;--;--
0204402001;--;--
0204501001;=;-
0204501002;=;-
0204502001;=;-
0204502002;=;-
0204601001;++;=
0204701001;=;++
0204801001;--;++
0204901001;++;++
0205001001;++;++
0205101001;++;+
0205102001;++;+
0205201001;++;=
0205301001;--;++
0205302001;--;++
0205303001;--;++
0205401001;++;=
0205501001;++;--
0205601001;=;++
0205602001;=;++
0205701001;=;--
0205701002;=;--
0205801001;--;-
0205901001;=;++
0206001001;--;-
0206101001;++;++
0206201001;=;++
0206301001;++;--
0206401001;++;--
0206501001;+;=
0206601001;++;=
0206701001;++;++
0206801001;+;=
0206901001;=;=
0206901002;=;=
0206901003;=;=
0206901004;=;=
0206902001;=;=
0206902002;=;=
0206902003;=;=
0206902004;=;=
0206903001;=;=
0206903002;=;=
0207001001;=;++
0207101001;++;-
0207201001;+;++
0207202001;+;++
0207301001;++;=
0207301002;++;=
0207301003;++;=
0207302001;++;=
0207302002;++;=
0207401001;++;=
